iter	RMSE
0	0.4923580973
1	0.4912976036
2	0.4902914721
3	0.4891508063
4	0.4881116831
5	0.4874770709
6	0.4864097181
7	0.4853895343
8	0.4844129608
9	0.4833648804
10	0.4823140106
11	0.4820919588
12	0.4813430659
13	0.480955513
14	0.480045186
15	0.4795491906
16	0.4787489359
17	0.4780409637
18	0.4768650322
19	0.475770984
20	0.475366148
21	0.4743914979
22	0.474109349
23	0.473754526
24	0.4730267518
25	0.4721148419
26	0.4715406937
27	0.4712317059
28	0.4703657214
29	0.4699897224
30	0.4688219378
31	0.4680096046
32	0.4673466318
33	0.4666899825
34	0.4656991545
35	0.4652036275
36	0.4644270246
37	0.4637948229
38	0.4633780669
39	0.4628744535
40	0.4624090975
41	0.4616102885
42	0.4608440216
43	0.4603699768
44	0.4598316933
45	0.4593055223
46	0.4585644929
47	0.4579860426
48	0.4574060695
49	0.457262349
50	0.4568537991
51	0.4561484474
52	0.4555378513
53	0.4549217131
54	0.4546611146
55	0.4536341039
56	0.4530246171
57	0.4526649438
58	0.4521091747
59	0.4518459331
60	0.4512280771
61	0.4510232441
62	0.4502916837
63	0.4498354212
64	0.449535454
65	0.4490235657
66	0.4485044144
67	0.4481143458
68	0.447661547
69	0.4470316502
70	0.4462677178
71	0.4459273661
72	0.445044681
73	0.4444056759
74	0.4438823155
75	0.4432613656
76	0.4428969486
77	0.4427465522
78	0.4420268955
79	0.4416599763
80	0.4414921317
81	0.4407404135
82	0.4405870769
83	0.4402697106
84	0.4397555068
85	0.4392777633
86	0.438303961
87	0.4380307148
88	0.4375063265
89	0.4372329984
90	0.4368238623
91	0.4364873881
92	0.4356510297
93	0.4347719425
94	0.4341059136
95	0.4338081911
96	0.4333754129
97	0.4331270914
98	0.4324579392
99	0.4318899591
100	0.4306537928
101	0.430207067
102	0.4301035254
103	0.4298086989
104	0.4295057911
105	0.4291681013
106	0.4287969931
107	0.428214473
108	0.4278934281
109	0.4274556321
110	0.4272793221
111	0.4267797055
112	0.4264779708
113	0.4256998294
114	0.4251394527
115	0.4243571129
116	0.424227004
117	0.4238565319
118	0.4235742389
119	0.4231925778
120	0.4229570522
121	0.4226074326
122	0.4220995724
123	0.4217874818
124	0.4212426628
125	0.4208872123
126	0.4203758312
127	0.4199582155
128	0.419499568
129	0.4191742061
130	0.4183624263
131	0.4177769691
132	0.4170263253
133	0.4167904297
134	0.4166472488
135	0.4157520888
136	0.415537351
137	0.4150611738
138	0.4146982706
139	0.4142651033
140	0.4139781651
141	0.4129718466
142	0.4123027889
143	0.412224086
144	0.4112878381
145	0.4106334952
146	0.4102470227
147	0.4099319669
148	0.4095304552
149	0.4092025176
150	0.4087676966
151	0.4085007588
152	0.4082783834
153	0.4079686853
154	0.4076413896
155	0.4073446738
156	0.4070250512
157	0.4067949795
158	0.4066173511
159	0.4063281042
160	0.4060342519
161	0.4057190797
162	0.4050769656
163	0.4046953243
164	0.4044323974
165	0.4039422548
166	0.4035677147
167	0.403007367
168	0.4025103784
169	0.4021722282
170	0.401355295
171	0.4011514456
172	0.4006467944
173	0.4003448273
174	0.4000786284
175	0.39951143
176	0.3989130543
177	0.3984729275
178	0.3979789393
179	0.3976351374
180	0.3973933882
181	0.3968814711
182	0.3964504983
183	0.3957735149
184	0.3950538077
185	0.3947054225
186	0.3941900484
187	0.3932576605
188	0.3925798864
189	0.391861883
190	0.3915366477
191	0.3913276034
192	0.3906457727
193	0.3900618089
194	0.3892662973
195	0.3886901547
196	0.3882770895
197	0.3880609261
198	0.3877017045
199	0.3873438342
200	0.3863235575
201	0.3859249073
202	0.385685156
203	0.3851347275
204	0.3844881488
205	0.38381436
206	0.3834477032
207	0.3830422489
208	0.3824085364
209	0.3817903864
210	0.3814832038
211	0.3807221515
212	0.3802961583
213	0.3799248399
214	0.379534993
215	0.3788694393
216	0.3778798006
217	0.3776195606
218	0.3772185619
219	0.376621239
220	0.3762043526
221	0.3752968375
222	0.3747503457
223	0.373984613
224	0.3735126447
225	0.373200072
226	0.3725167074
227	0.37179082
228	0.371377397
229	0.3710790602
230	0.3706510667
231	0.3703195534
232	0.3692982799
233	0.3691909
234	0.3686888541
235	0.3683964945
236	0.3681422061
237	0.367670001
238	0.3667916779
239	0.3659443293
240	0.3655378593
241	0.3643259691
242	0.3634393154
243	0.3631615326
244	0.362532179
245	0.3618683291
246	0.3616608438
247	0.3611967713
248	0.3609734929
249	0.3601274532
250	0.3595716101
251	0.3585593822
252	0.3582122042
253	0.3575357688
254	0.3569760996
255	0.3566083424
256	0.3562627047
257	0.3560089988
258	0.3550048232
259	0.35413664
260	0.3534610605
261	0.3530430268
262	0.3521685326
263	0.3520161024
264	0.3515470493
265	0.3512262106
266	0.3503030988
267	0.3497329801
268	0.3489142805
269	0.3486360171
270	0.3477181386
271	0.3475299977
272	0.3467612646
273	0.3461560293
274	0.3455960862
275	0.3449564172
276	0.3442460052
277	0.3431135923
278	0.3423138574
279	0.3421145277
280	0.3417325022
281	0.341566011
282	0.3409847967
283	0.340640418
284	0.3400823527
285	0.3396126187
286	0.3386232222
287	0.3378952473
288	0.3376160705
289	0.3372260034
290	0.3370880793
291	0.3367055498
292	0.3359385353
293	0.3353247313
294	0.334492253
295	0.3341605576
296	0.3339708546
297	0.3332973985
298	0.332847814
299	0.3321594506
300	0.3313964238
301	0.3311468379
302	0.3308276476
303	0.329995718
304	0.3291772721
305	0.3290712231
306	0.3289420321
307	0.3285660337
308	0.3281372978
309	0.3275478618
310	0.327351084
311	0.3272083699
312	0.3270863537
313	0.3266341627
314	0.325760755
315	0.3256257456
316	0.3249611049
317	0.3246555933
318	0.3239847171
319	0.3233464622
320	0.3227123097
321	0.3222136057
322	0.3218162107
323	0.3211209387
324	0.3205846347
325	0.3203500064
326	0.3201709549
327	0.3198063184
328	0.3190070972
329	0.3185277689
330	0.3182469871
331	0.3178722799
332	0.3177415528
