iter	Passed	Remaining
0	0	770
1	1	777
2	2	727
3	2	693
4	3	663
5	3	642
6	4	631
7	5	622
8	5	616
9	6	613
10	6	609
11	7	580
12	7	580
13	8	578
14	8	576
15	9	574
16	9	572
17	10	569
18	10	567
19	11	566
20	11	554
21	12	553
22	12	546
23	13	539
24	13	539
25	14	539
26	14	538
27	15	533
28	16	538
29	16	542
30	17	547
31	18	547
32	18	549
33	19	550
34	19	550
35	20	550
36	21	550
37	21	550
38	22	544
39	22	544
40	23	545
41	23	545
42	24	544
43	25	545
44	25	545
45	26	545
46	26	544
47	27	544
48	28	543
49	28	542
50	29	541
51	29	540
52	30	540
53	30	540
54	31	541
55	32	541
56	32	540
57	33	541
58	34	542
59	34	543
60	35	542
61	35	542
62	36	544
63	37	544
64	37	546
65	38	545
66	39	544
67	39	543
68	40	543
69	40	542
70	41	541
71	41	540
72	42	540
73	43	539
74	43	538
75	44	537
76	44	536
77	45	533
78	45	535
79	46	533
80	46	533
81	47	532
82	47	529
83	48	529
84	49	528
85	49	528
86	50	527
87	50	526
88	51	526
89	52	526
90	52	526
91	53	526
92	53	525
93	54	525
94	55	524
95	55	523
96	56	523
97	56	522
98	57	521
99	57	521
100	58	520
101	59	520
102	59	519
103	60	518
104	60	516
105	61	517
106	61	516
107	62	516
108	63	515
109	63	515
110	64	514
111	64	514
112	65	513
113	65	512
114	66	512
115	67	512
116	67	513
117	68	512
118	69	511
119	69	511
120	70	510
121	70	510
122	71	509
123	72	508
124	72	508
125	73	507
126	73	506
127	74	506
128	74	505
129	75	505
130	76	505
131	76	505
132	77	504
133	78	505
134	78	505
135	79	504
136	80	504
137	80	504
138	81	504
139	81	503
140	82	502
141	82	501
142	83	500
143	83	498
144	84	497
145	84	497
146	85	496
147	86	495
148	86	495
149	87	494
150	87	493
151	88	493
152	89	493
153	89	492
154	90	492
155	90	492
156	91	491
157	92	491
158	92	490
159	93	489
160	93	489
161	94	488
162	95	488
163	95	487
164	96	486
165	96	485
166	97	485
167	98	485
168	98	484
169	99	484
170	99	483
171	100	483
172	100	482
173	101	481
174	102	481
175	102	480
176	103	479
177	103	479
178	104	478
179	104	478
180	105	477
181	106	477
182	106	477
183	107	476
184	108	476
185	108	475
186	109	475
187	109	474
188	110	474
189	111	473
190	111	472
191	112	472
192	112	471
193	113	471
194	113	470
195	114	469
196	115	469
197	115	468
198	116	467
199	116	467
200	117	466
201	117	465
202	118	465
203	119	464
204	119	463
205	120	463
206	120	462
207	121	462
208	122	461
209	122	461
210	123	461
211	123	460
212	124	460
213	125	459
214	125	458
215	126	458
216	126	457
217	127	457
218	128	456
219	128	455
220	129	455
221	129	454
222	130	454
223	130	453
224	131	452
225	132	452
226	132	451
227	133	451
228	133	450
229	134	449
230	134	449
231	135	448
232	136	448
233	136	447
234	137	447
235	137	446
236	138	446
237	139	445
238	139	445
239	140	444
240	140	443
241	141	443
242	142	442
243	142	442
244	143	441
245	143	441
246	144	440
247	145	439
248	145	438
249	146	438
250	146	437
251	147	437
252	147	436
253	148	435
254	148	435
255	149	434
256	150	433
257	150	433
258	151	433
259	152	433
260	153	433
261	153	433
262	154	432
263	154	432
264	155	431
265	156	430
266	156	430
267	157	429
268	157	429
269	158	428
270	159	427
271	159	427
272	160	426
273	160	425
274	161	425
275	161	424
