iter	RMSE
0	0.8787727991
1	0.872840225
2	0.8657847416
3	0.8557753306
4	0.848481375
5	0.839764187
6	0.831645562
7	0.8235468035
8	0.8158799704
9	0.8094026191
10	0.8038889269
11	0.7966446035
12	0.7892854495
13	0.7818334094
14	0.7745570631
15	0.7683037705
16	0.7625800966
17	0.7561582856
18	0.7505596491
19	0.7454413386
20	0.7400711911
21	0.7337406225
22	0.7277043342
23	0.7232596937
24	0.7172650439
25	0.7145741811
26	0.7097803202
27	0.7050998171
28	0.7006184021
29	0.6958458461
30	0.6927061027
31	0.6874932109
32	0.6827363822
33	0.6782304892
34	0.6736338812
35	0.6699191386
36	0.6664564401
37	0.6626102224
38	0.6596511586
39	0.6589720195
40	0.656355847
41	0.6531474735
42	0.6483167909
43	0.6459406401
44	0.6423981294
45	0.6384936055
46	0.6360483921
47	0.6330632152
48	0.6297046834
49	0.6272125987
50	0.6241880668
51	0.6203340226
52	0.6180305642
53	0.6159166952
54	0.6138925327
55	0.6112214365
56	0.6085957359
57	0.6064118286
58	0.6034795172
59	0.6000939669
60	0.5974051168
61	0.595464137
62	0.592578864
63	0.5902083265
64	0.5873332992
65	0.5854131638
66	0.5835020438
67	0.581086495
68	0.579392604
69	0.5775292336
70	0.5756631963
71	0.5735500411
72	0.5698147853
73	0.5679570995
74	0.5658756863
75	0.5642611694
76	0.5627520835
77	0.5622123641
78	0.5599268144
79	0.5593843302
80	0.5576436445
81	0.5555327751
82	0.5542549816
83	0.5527169645
84	0.550578203
85	0.5489421929
86	0.5483510221
87	0.5459647898
88	0.5435113181
89	0.5413375114
90	0.5391234719
91	0.5387260941
92	0.5383319071
93	0.5369665971
94	0.536062423
95	0.5341348974
96	0.5337706163
97	0.5325879681
98	0.5320372537
99	0.5303287844
100	0.5293656418
101	0.5281754273
102	0.5266956323
103	0.525018526
104	0.5246033118
105	0.523166219
106	0.5223419029
107	0.5211545655
108	0.5206167494
109	0.5182937606
110	0.5159350909
111	0.5145951901
112	0.5141002096
113	0.5126334461
114	0.5116841997
115	0.5104402106
116	0.5084804434
117	0.5082359462
118	0.5072921852
119	0.5052700609
120	0.5035437999
121	0.5030119582
122	0.5015228006
123	0.5008172043
124	0.4997167588
125	0.4990987566
126	0.4988910962
127	0.4978451262
128	0.497500243
129	0.4962546817
130	0.4950610887
131	0.4933983449
132	0.4920159527
133	0.4913585248
134	0.4905049843
135	0.4901703696
136	0.489174124
137	0.4884673549
138	0.4872349149
139	0.4869244592
140	0.4858257818
141	0.4851998985
142	0.483834357
143	0.483539378
144	0.4819887537
145	0.4815391785
146	0.4795994142
147	0.4793570117
148	0.4789655726
149	0.4784908762
150	0.477801368
151	0.477576756
152	0.475385571
153	0.4742244499
154	0.4724750078
155	0.4714795639
156	0.470399744
157	0.4700012322
158	0.4696036707
159	0.4694274105
160	0.4672294749
161	0.4666584027
162	0.4651429506
163	0.4648853368
164	0.4624976695
165	0.4614702544
166	0.4594577148
167	0.4592039561
168	0.4573389493
169	0.4552535417
170	0.4545882726
171	0.4526226331
172	0.4522366508
173	0.4511624784
174	0.4494491042
175	0.449219298
176	0.4474552694
177	0.4461226506
178	0.4457684143
179	0.4450659509
180	0.4430629755
181	0.4412598653
182	0.4408999384
183	0.4389839019
184	0.4384331994
185	0.4370094723
186	0.4360750218
187	0.4342977441
188	0.433763561
189	0.4328737827
190	0.4319938062
191	0.4309023967
192	0.430116865
193	0.4295009292
194	0.4288360214
195	0.428301673
196	0.4280059119
197	0.4275375618
198	0.4270710248
199	0.4269354841
200	0.4264160587
201	0.4254107237
202	0.4252013729
203	0.4231614532
204	0.4216130583
205	0.4202641868
206	0.4197101898
207	0.4176684138
208	0.4172522809
209	0.4170811249
210	0.4168885762
211	0.4164155001
212	0.4156551192
213	0.4151390624
214	0.4149440045
215	0.413727935
216	0.4132390469
217	0.4122582983
218	0.4120514077
219	0.4115666489
220	0.4110350514
221	0.4100911504
222	0.4097387832
223	0.4088477394
224	0.4076991632
225	0.4074235909
226	0.4063012831
227	0.4044177664
228	0.4043130872
229	0.4036611432
230	0.4019185388
231	0.4011259478
232	0.4000714953
233	0.3986761409
234	0.3978911345
235	0.3960322519
236	0.3947868059
237	0.3937627742
238	0.393670183
239	0.3933404041
240	0.3925288242
241	0.3914113932
242	0.391108255
243	0.3899092749
244	0.3896225455
245	0.3879527642
246	0.3873717287
247	0.386973531
248	0.3858820341
249	0.3855718688
250	0.3850007794
251	0.3842667022
252	0.3823304995
253	0.3817861322
254	0.3812141921
255	0.3810495502
256	0.3809256956
257	0.380709759
258	0.3802929328
259	0.3801725654
260	0.3786179481
261	0.3774902378
262	0.3774118474
263	0.3770517779
264	0.3768808641
265	0.3759050014
266	0.3755791546
267	0.375462864
268	0.3750399115
269	0.3738949427
270	0.373552641
271	0.3732011554
272	0.3731286932
273	0.3727330345
274	0.3707779077
275	0.3694258805
276	0.3690889741
277	0.3687655
278	0.3673748256
279	0.3662615687
280	0.365971211
281	0.3655977811
282	0.3644193803
283	0.3634459213
284	0.3617071556
285	0.3614654109
286	0.3598022414
287	0.359642622
288	0.358469213
289	0.3570223637
290	0.3558248716
291	0.3549421436
292	0.3545837186
293	0.3542445035
294	0.3538761777
295	0.353778515
296	0.352582102
297	0.3522779398
298	0.3521847568
299	0.3514453329
300	0.351055568
301	0.3510044138
302	0.3503060116
303	0.3499768759
304	0.3487862549
305	0.3482039442
306	0.3479947959
307	0.3477326849
308	0.3470399215
309	0.3458890444
310	0.345205767
311	0.344997259
312	0.3438067637
313	0.3434315264
314	0.3430219541
315	0.342833104
316	0.3421434437
317	0.3407378226
318	0.339398504
319	0.3383477785
320	0.3380524667
321	0.3378709924
322	0.3378244062
323	0.3376160156
324	0.3373092378
325	0.3365852218
326	0.3354068217
327	0.3349424504
328	0.3346133276
329	0.3339556011
330	0.3338739956
331	0.3334255803
332	0.3332603438
333	0.3326121322
334	0.3319222099
335	0.330895186
336	0.3304660879
337	0.329707346
338	0.3290816302
339	0.3280480115
340	0.3273390854
341	0.3271058577
342	0.3269488725
343	0.3267318662
344	0.3265261411
345	0.3263041211
346	0.3255535496
347	0.325099799
348	0.3248645981
349	0.3242553261
350	0.324056625
351	0.3237678395
352	0.3228784188
353	0.3228422226
354	0.3219170571
355	0.3209325433
356	0.3200824369
357	0.3193789911
358	0.3192404371
359	0.318774217
360	0.3187370303
361	0.3182240236
362	0.3178747414
363	0.3172075775
364	0.3169394745
365	0.3163670982
366	0.3157621329
367	0.3151042587
368	0.3143176525
369	0.3138862389
370	0.3132350316
371	0.3123251148
372	0.3118417518
373	0.3112107977
374	0.3106804223
375	0.3097784279
376	0.3089496279
377	0.3084365702
378	0.3079036639
379	0.3078150045
380	0.3076755371
381	0.3069259779
382	0.3065917039
383	0.3059589224
384	0.3054759003
385	0.3048924907
386	0.3047182361
387	0.3040538704
388	0.3038363252
389	0.3034003821
390	0.3027943966
391	0.3025678375
392	0.3020734305
393	0.3013236667
394	0.3010754732
395	0.3004160922
396	0.3002045707
397	0.3000478007
398	0.2993450653
399	0.2989175972
400	0.2982201203
401	0.2981219791
402	0.2973677187
403	0.2969117411
404	0.2966985354
405	0.2961526689
406	0.2956355165
407	0.2949371535
408	0.2945828851
409	0.2943760568
410	0.2942440789
411	0.2940783489
412	0.2936944878
413	0.2929420461
414	0.2924139387
415	0.2919359267
416	0.2914302001
417	0.2912684908
418	0.2905685359
419	0.2901633026
420	0.2894630159
421	0.2891506405
422	0.2888482481
423	0.2887165761
424	0.2885612837
425	0.288163268
426	0.2880068848
427	0.2877346409
428	0.2875832469
429	0.2872936757
430	0.2869134479
431	0.2865151954
432	0.2863528647
433	0.2862659385
434	0.2857417296
435	0.2853433551
436	0.2847790914
437	0.2846075294
438	0.28420586
439	0.2838234731
440	0.2835345315
441	0.2832606351
442	0.2829126063
443	0.2824014786
444	0.2820290534
445	0.2814701902
446	0.2810566323
447	0.280838117
448	0.2804772364
449	0.2796734212
450	0.2792322651
451	0.2786685793
452	0.2785429554
453	0.2782170995
454	0.2781008958
455	0.2779934853
456	0.2779216846
457	0.2777791669
458	0.2776591147
459	0.2775248756
460	0.2770002472
461	0.2767706043
462	0.2763788056
463	0.2759337753
464	0.2750394867
465	0.2745158926
466	0.2738447299
467	0.2734934357
468	0.2731499206
469	0.2728611966
470	0.2724465594
471	0.271906343
472	0.2712847288
473	0.2711623867
474	0.2708335065
475	0.2705435686
476	0.2704846382
477	0.2704053279
478	0.2698681368
479	0.2693911419
480	0.2691444519
481	0.2685916318
482	0.2681639533
483	0.2674089915
484	0.2666370028
485	0.2662067096
486	0.2658330058
487	0.2654744479
488	0.2647968871
489	0.2643346241
490	0.2637140459
491	0.2636616009
492	0.2634719459
493	0.2631508588
494	0.2629605971
495	0.2625963461
496	0.2621745145
497	0.2617593435
498	0.2612239588
499	0.2607279196
500	0.2603799723
