iter	Passed	Remaining
0	1	1776
1	2	1312
2	4	1339
3	5	1343
4	6	1365
5	8	1390
6	9	1401
7	11	1412
8	13	1448
9	14	1452
10	15	1416
11	17	1421
12	18	1419
13	20	1431
14	21	1433
15	23	1437
16	24	1436
17	26	1449
18	28	1450
19	29	1445
20	30	1444
21	32	1442
22	34	1446
23	35	1442
24	36	1436
25	38	1432
26	39	1430
27	41	1432
28	43	1445
29	44	1441
30	46	1437
31	47	1422
32	48	1423
33	49	1419
34	51	1416
35	52	1414
36	54	1411
37	56	1429
38	57	1406
39	57	1388
40	59	1385
41	60	1382
42	62	1386
43	63	1387
44	65	1385
45	66	1382
46	68	1379
47	69	1386
48	71	1385
49	72	1384
50	74	1383
51	75	1384
52	77	1382
53	78	1378
54	80	1375
55	81	1374
56	83	1381
57	84	1380
58	86	1378
59	87	1375
60	89	1375
61	90	1374
62	92	1371
63	93	1369
64	94	1366
65	96	1366
66	98	1367
67	100	1371
68	101	1368
69	102	1365
70	104	1362
71	105	1359
72	106	1356
73	108	1354
74	109	1352
75	111	1352
76	113	1357
77	114	1354
78	116	1353
79	117	1354
80	119	1352
81	120	1350
82	121	1340
83	122	1338
84	124	1336
85	125	1337
86	127	1338
87	129	1342
88	130	1340
89	132	1337
90	133	1336
91	135	1333
92	135	1325
93	137	1322
94	138	1321
95	140	1320
96	140	1312
97	143	1317
98	144	1316
99	146	1316
100	147	1315
101	149	1314
102	150	1314
103	152	1317
104	155	1323
105	157	1325
106	159	1328
107	160	1328
108	162	1328
109	164	1327
110	165	1326
111	167	1324
112	169	1332
113	172	1338
114	173	1338
115	175	1338
116	177	1337
117	178	1331
118	179	1329
119	183	1342
120	187	1358
121	188	1359
122	190	1358
123	192	1357
124	193	1357
125	195	1356
126	197	1356
127	200	1364
128	201	1363
129	203	1361
130	205	1359
131	206	1358
132	208	1357
133	209	1355
134	211	1355
135	213	1356
136	215	1359
137	217	1358
138	219	1357
139	220	1357
140	222	1356
141	224	1354
142	225	1352
143	228	1358
144	230	1356
145	231	1353
146	232	1351
147	234	1349
148	235	1347
149	237	1345
150	239	1343
151	240	1341
152	242	1343
153	244	1341
154	245	1339
155	247	1339
156	249	1338
157	250	1336
158	252	1334
159	253	1332
160	256	1334
161	257	1333
162	259	1333
163	261	1332
164	263	1331
165	264	1330
166	267	1333
167	269	1334
168	272	1338
169	274	1337
170	276	1338
171	278	1341
172	280	1340
173	281	1338
174	283	1336
175	285	1335
176	287	1337
177	289	1335
178	290	1332
179	291	1330
180	293	1327
181	294	1325
182	296	1324
183	299	1326
184	300	1324
185	302	1323
186	303	1321
187	305	1319
188	306	1316
189	308	1315
190	310	1313
191	311	1312
192	313	1310
193	315	1309
194	316	1308
195	318	1306
196	320	1304
197	322	1304
198	323	1303
199	325	1302
200	327	1301
201	329	1300
202	330	1298
203	332	1296
204	334	1296
205	336	1296
206	337	1294
207	341	1298
208	343	1298
209	344	1296
210	346	1294
211	347	1291
212	348	1289
213	350	1286
214	351	1284
215	353	1282
216	356	1286
217	358	1286
218	360	1285
219	362	1284
220	364	1283
221	365	1281
222	367	1279
223	369	1280
224	371	1278
225	372	1276
226	374	1275
227	376	1274
228	377	1272
229	379	1271
230	381	1269
231	383	1269
232	385	1269
233	387	1267
234	388	1265
235	390	1263
236	391	1261
237	393	1259
238	395	1259
239	398	1261
240	400	1260
241	402	1259
242	403	1257
243	405	1256
244	407	1256
245	409	1253
246	410	1251
247	413	1253
248	415	1252
249	416	1249
250	418	1247
251	419	1245
252	421	1243
253	422	1240
254	423	1238
255	425	1236
256	427	1235
257	428	1233
258	430	1230
259	431	1228
260	433	1226
261	434	1224
262	435	1221
263	437	1219
264	438	1216
265	440	1214
266	442	1214
267	443	1212
268	445	1209
269	446	1207
270	448	1205
271	449	1202
272	450	1200
273	452	1198
274	453	1195
275	455	1193
276	456	1191
277	457	1189
278	459	1186
279	460	1184
280	462	1182
281	463	1180
282	464	1177
283	466	1175
284	467	1173
285	469	1171
286	471	1171
287	472	1169
288	474	1167
289	475	1165
290	477	1163
291	478	1161
292	480	1158
293	481	1156
294	482	1154
295	484	1151
296	486	1152
297	488	1150
298	490	1148
299	491	1146
300	492	1144
301	494	1142
302	495	1140
303	497	1138
304	498	1136
305	500	1134
306	502	1133
307	503	1131
308	505	1129
309	506	1127
310	507	1125
311	509	1123
312	510	1121
313	512	1119
314	513	1117
315	515	1116
316	517	1114
317	518	1112
318	520	1110
319	521	1108
320	523	1106
321	524	1104
322	525	1102
323	527	1100
324	528	1097
325	530	1096
326	532	1095
327	533	1093
328	535	1091
329	536	1089
330	538	1089
331	540	1088
332	542	1086
333	544	1086
334	546	1085
335	548	1083
336	549	1081
337	550	1079
338	552	1077
339	554	1075
340	555	1073
341	557	1072
342	559	1071
343	560	1069
344	562	1067
345	563	1064
346	565	1063
347	566	1061
348	568	1060
349	570	1058
350	572	1058
351	574	1057
352	575	1055
353	577	1053
354	578	1051
355	579	1048
356	581	1046
357	582	1044
358	584	1042
359	585	1040
360	586	1038
361	589	1039
362	591	1037
363	592	1035
364	594	1034
365	596	1032
366	597	1030
367	598	1028
368	600	1026
369	602	1026
370	604	1025
371	606	1023
372	607	1021
373	609	1020
374	611	1018
375	612	1017
376	614	1015
377	616	1014
378	618	1013
379	620	1011
380	621	1009
381	623	1007
382	624	1006
383	625	1004
384	627	1002
385	629	1000
386	631	999
387	632	997
388	634	996
389	635	994
390	637	992
391	638	990
392	640	988
393	641	987
394	643	985
395	644	983
396	646	982
397	648	980
398	649	978
399	651	976
400	652	974
401	653	972
402	655	971
403	657	969
404	658	967
405	660	966
406	661	964
407	663	962
408	664	960
409	666	959
410	667	957
411	669	955
412	670	953
413	672	951
414	673	950
415	676	950
416	678	948
417	680	946
418	681	945
419	683	943
420	684	941
421	685	939
422	687	937
423	688	935
424	690	934
425	692	932
426	693	930
427	695	929
428	696	927
429	698	925
430	699	923
431	701	922
432	702	920
433	704	918
434	706	917
435	708	916
436	709	914
437	711	912
438	713	911
439	714	909
440	716	907
441	717	905
442	720	906
443	723	905
444	724	904
445	726	902
446	728	900
447	729	898
448	730	896
449	732	894
450	734	893
451	736	892
452	737	890
453	739	888
454	740	887
455	742	885
456	743	883
457	744	881
458	746	879
459	748	878
460	749	876
461	751	874
462	752	873
463	754	871
464	755	869
465	757	867
466	759	866
467	760	864
468	763	863
469	765	863
470	767	861
471	769	860
472	770	858
473	772	857
474	773	855
475	775	853
476	777	852
477	779	851
478	780	849
479	782	847
480	784	846
481	785	844
482	786	842
483	788	840
484	789	838
485	791	836
486	793	836
487	795	834
488	797	832
489	798	831
490	800	829
491	801	827
492	802	825
493	804	823
494	806	823
495	808	821
496	810	820
497	811	818
498	813	816
499	814	814
500	816	812
501	817	811
502	819	809
503	821	808
504	822	806
505	824	804
506	825	802
507	827	801
508	828	799
509	830	797
510	831	795
511	832	793
512	834	792
513	836	791
514	838	789
515	839	787
516	841	785
517	842	784
518	844	782
519	845	780
520	847	778
521	848	776
522	850	775
523	851	773
524	853	772
525	854	770
526	856	768
527	857	766
528	859	765
529	860	763
530	862	761
531	864	760
532	866	758
533	867	757
534	870	756
535	872	755
536	874	753
537	875	752
538	877	750
539	880	750
540	882	748
541	884	747
542	885	745
543	887	743
544	888	742
545	890	740
546	891	738
547	894	737
548	895	735
549	896	733
550	899	732
551	901	731
552	903	729
553	904	728
554	906	726
555	907	725
556	909	723
557	911	721
558	913	720
559	914	718
560	916	717
561	917	715
562	919	713
563	921	712
564	923	710
565	924	709
566	927	708
567	928	706
568	930	704
569	931	703
570	933	701
571	934	699
572	937	698
573	939	697
574	941	695
575	942	694
576	944	692
577	946	690
578	948	689
579	950	688
580	952	686
581	953	684
582	955	683
583	956	681
584	958	679
585	959	678
586	961	676
587	962	674
588	964	672
589	966	671
590	968	670
591	969	668
592	971	666
593	973	665
594	974	663
595	976	661
596	978	660
597	980	659
598	982	657
599	984	656
600	985	654
601	987	652
602	988	651
603	990	649
604	991	647
605	993	645
606	995	644
607	996	642
608	997	640
609	999	639
610	1000	637
611	1002	635
612	1003	633
613	1005	631
614	1006	630
615	1008	628
616	1010	626
617	1011	625
618	1012	623
619	1014	621
620	1015	619
621	1017	618
622	1018	616
623	1019	614
624	1021	612
625	1022	611
626	1024	609
627	1026	607
628	1027	606
629	1029	604
630	1030	602
631	1031	600
632	1033	598
633	1034	597
634	1036	595
635	1037	593
636	1039	592
637	1040	590
638	1042	588
639	1043	587
640	1045	585
641	1046	583
642	1048	581
643	1049	580
644	1050	578
645	1052	576
646	1054	575
647	1056	573
648	1057	572
649	1059	570
650	1060	568
651	1061	566
652	1063	565
653	1064	563
654	1066	561
655	1068	560
656	1070	558
657	1071	556
658	1072	555
659	1074	553
660	1075	551
661	1077	550
662	1079	548
663	1081	547
664	1082	545
665	1084	543
666	1085	542
667	1087	540
668	1088	538
669	1090	537
670	1092	535
671	1094	534
672	1095	532
673	1097	530
674	1099	529
675	1100	527
676	1102	525
677	1103	524
678	1105	522
679	1106	520
680	1108	519
