distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun
28.0,5.0,26.0,21.5,12,E10,0,0,0
12.0,4.2,30.0,21.5,13,E10,0,0,0
11.2,5.5,38.0,21.5,15,E10,0,0,0
12.9,3.9,36.0,21.5,14,E10,0,0,0
18.5,4.5,46.0,21.5,15,E10,0,0,0
8.3,6.4,50.0,21.5,10,E10,0,0,0
7.8,4.4,43.0,21.5,11,E10,0,0,0
12.3,5.0,40.0,21.5,6,E10,0,0,0
4.9,6.4,26.0,21.5,4,E10,0,0,0
11.9,5.3,30.0,21.5,9,E10,0,0,0
12.4,5.6,42.0,21.5,4,E10,0,0,0
11.8,4.6,38.0,21.5,0,E10,0,0,0
12.3,5.9,59.0,21.5,10,E10,0,0,0
24.7,5.1,58.0,21.5,12,E10,0,0,0
12.4,4.7,46.0,21.5,11,E10,0,0,0
17.3,5.1,24.0,21.5,5,E10,0,0,0
33.4,5.6,36.0,21.5,3,E10,0,0,0
11.8,5.1,32.0,21.5,3,E10,0,0,0
25.9,4.9,39.0,21.5,8,E10,0,0,0
11.8,4.7,40.0,21.5,4,E10,0,0,0
25.3,5.5,32.0,21.5,3,E10,0,0,0
14.2,5.9,38.0,21.5,1,E10,0,0,0
17.9,5.7,37.0,21.5,1,E10,0,0,0
11.8,4.7,36.0,21.5,1,E10,0,0,0
12.3,5.9,62.0,21.5,6,E10,0,0,0
12.4,4.1,57.0,21.5,9,E10,0,0,0
18.4,5.7,21.0,22.5,2,E10,0,0,0
18.4,5.8,28.0,21.5,3,E10,0,0,0
18.3,5.5,29.0,21.5,1,E10,0,0,0
18.4,5.7,35.0,21.5,4,E10,0,0,0
12.3,5.3,51.0,21.5,11,E10,0,0,0
11.8,5.0,29.0,21.5,10,E10,0,0,0
12.3,5.6,58.0,21.5,8,E10,0,0,0
32.6,4.8,40.0,21.5,7,E10,0,0,0
19.0,4.3,36.0,21.5,7,E10,0,0,0
12.1,5.7,36.0,21.5,8,E10,0,0,0
20.0,5.2,37.0,21.5,4,E10,0,0,0
4.9,7.4,26.0,21.5,6,E10,0,0,0
11.8,4.8,23.0,21.5,9,E10,0,0,0
12.3,6.5,58.0,21.5,7,E10,0,0,0
12.4,4.0,55.0,21.5,7,E10,1,1,0
4.5,5.0,29.0,21.5,7,E10,1,0,0
11.7,4.6,37.0,21.5,6,E10,0,0,0
10.2,4.3,44.0,21.5,7,E10,0,0,0
5.4,3.3,32.0,21.5,7,SP98,0,0,0
2.0,9.9,21.0,21.5,4,SP98,0,0,0
14.2,5.1,32.0,21.5,7,SP98,0,0,0
16.0,4.9,25.0,21.5,8,SP98,0,0,0
11.8,4.9,25.0,21.5,11,SP98,0,0,0
27.3,4.7,36.0,21.5,10,SP98,0,0,0
11.8,5.1,29.0,21.5,5,SP98,0,1,0
10.6,4.9,63.0,21.5,6,SP98,0,0,0
11.6,4.2,61.0,21.5,7,SP98,0,0,0
13.1,6.1,46.0,21.5,6,SP98,0,1,0
6.1,6.4,28.0,21.5,8,SP98,0,0,0
153.5,4.9,82.0,21.5,3,SP98,0,1,0
11.8,4.9,24.0,21.5,7,SP98,0,0,0
12.3,6.2,61.0,21.5,8,SP98,0,0,0
12.4,4.2,57.0,21.5,8,SP98,0,0,0
12.3,5.7,52.0,21.5,8,SP98,0,1,0
2.9,7.9,18.0,21.5,9,SP98,1,1,0
2.1,12.2,23.0,21.5,9,SP98,1,1,0
9.8,5.8,24.0,21.5,6,SP98,0,0,0
6.8,5.3,26.0,21.5,6,SP98,0,0,0
12.4,5.4,24.0,21.5,7,SP98,0,0,0
12.4,4.7,57.0,21.5,8,SP98,0,0,0
11.8,4.6,41.0,21.5,6,SP98,0,0,0
12.3,5.4,55.0,21.5,8,SP98,0,0,0
14.0,4.3,40.0,21.5,8,SP98,0,0,0
11.8,4.5,37.0,21.5,4,SP98,1,0,0
12.3,5.2,55.0,21.5,12,SP98,0,0,0
2.0,6.2,20.0,21.5,10,SP98,0,0,0
13.9,5.1,29.0,21.5,6,SP98,0,0,0
9.7,3.9,42.0,21.5,8,SP98,0,0,0
11.6,5.0,25.0,21.5,6,SP98,0,0,0
14.2,5.4,38.0,21.5,7,SP98,0,0,0
