speed,temp_outside,gas_type,AC,rain,sun,temp_inside,distance,consume
26,12,E10,0,0,0,21.5,28.0,5.0
30,13,E10,0,0,0,21.5,12.0,4.2
38,15,E10,0,0,0,21.5,11.2,5.5
36,14,E10,0,0,0,21.5,12.9,3.9
46,15,E10,0,0,0,21.5,18.5,4.5
50,10,E10,0,0,0,21.5,8.3,6.4
43,11,E10,0,0,0,21.5,7.8,4.4
40,6,E10,0,0,0,21.5,12.3,5.0
26,4,E10,0,0,0,21.5,4.9,6.4
30,9,E10,0,0,0,21.5,11.9,5.3
42,4,E10,0,0,0,21.5,12.4,5.6
38,0,E10,0,0,0,21.5,11.8,4.6
59,10,E10,0,0,0,21.5,12.3,5.9
58,12,E10,0,0,0,21.5,24.7,5.1
46,11,E10,0,0,0,21.5,12.4,4.7
24,5,E10,0,0,0,21.5,17.3,5.1
36,3,E10,0,0,0,21.5,33.4,5.6
32,3,E10,0,0,0,21.5,11.8,5.1
39,8,E10,0,0,0,21.5,25.9,4.9
40,4,E10,0,0,0,21.5,11.8,4.7
32,3,E10,0,0,0,21.5,25.3,5.5
38,1,E10,0,0,0,21.5,14.2,5.9
37,1,E10,0,0,0,21.5,17.9,5.7
36,1,E10,0,0,0,21.5,11.8,4.7
62,6,E10,0,0,0,21.5,12.3,5.9
57,9,E10,0,0,0,21.5,12.4,4.1
21,2,E10,0,0,0,22.5,18.4,5.7
28,3,E10,0,0,0,21.5,18.4,5.8
29,1,E10,0,0,0,21.5,18.3,5.5
35,4,E10,0,0,0,21.5,18.4,5.7
51,11,E10,0,0,0,21.5,12.3,5.3
29,10,E10,0,0,0,21.5,11.8,5.0
58,8,E10,0,0,0,21.5,12.3,5.6
40,7,E10,0,0,0,21.5,32.6,4.8
36,7,E10,0,0,0,21.5,19.0,4.3
36,8,E10,0,0,0,21.5,12.1,5.7
37,4,E10,0,0,0,21.5,20.0,5.2
26,6,E10,0,0,0,21.5,4.9,7.4
23,9,E10,0,0,0,21.5,11.8,4.8
58,7,E10,0,0,0,21.5,12.3,6.5
55,7,E10,1,1,0,21.5,12.4,4.0
29,7,E10,1,0,0,21.5,4.5,5.0
37,6,E10,0,0,0,21.5,11.7,4.6
44,7,E10,0,0,0,21.5,10.2,4.3
32,7,SP98,0,0,0,21.5,5.4,3.3
21,4,SP98,0,0,0,21.5,2.0,9.9
32,7,SP98,0,0,0,21.5,14.2,5.1
25,8,SP98,0,0,0,21.5,16.0,4.9
25,11,SP98,0,0,0,21.5,11.8,4.9
36,10,SP98,0,0,0,21.5,27.3,4.7
29,5,SP98,0,1,0,21.5,11.8,5.1
63,6,SP98,0,0,0,21.5,10.6,4.9
61,7,SP98,0,0,0,21.5,11.6,4.2
46,6,SP98,0,1,0,21.5,13.1,6.1
28,8,SP98,0,0,0,21.5,6.1,6.4
82,3,SP98,0,1,0,21.5,153.5,4.9
24,7,SP98,0,0,0,21.5,11.8,4.9
61,8,SP98,0,0,0,21.5,12.3,6.2
57,8,SP98,0,0,0,21.5,12.4,4.2
52,8,SP98,0,1,0,21.5,12.3,5.7
18,9,SP98,1,1,0,21.5,2.9,7.9
23,9,SP98,1,1,0,21.5,2.1,12.2
24,6,SP98,0,0,0,21.5,9.8,5.8
26,6,SP98,0,0,0,21.5,6.8,5.3
24,7,SP98,0,0,0,21.5,12.4,5.4
57,8,SP98,0,0,0,21.5,12.4,4.7
41,6,SP98,0,0,0,21.5,11.8,4.6
55,8,SP98,0,0,0,21.5,12.3,5.4
40,8,SP98,0,0,0,21.5,14.0,4.3
37,4,SP98,1,0,0,21.5,11.8,4.5
55,12,SP98,0,0,0,21.5,12.3,5.2
20,10,SP98,0,0,0,21.5,2.0,6.2
29,6,SP98,0,0,0,21.5,13.9,5.1
42,8,SP98,0,0,0,21.5,9.7,3.9
25,6,SP98,0,0,0,21.5,11.6,5.0
38,7,SP98,0,0,0,21.5,14.2,5.4
39,6,SP98,0,0,0,21.5,11.8,4.5
50,9,SP98,0,0,0,21.5,24.8,5.1
56,7,SP98,0,0,0,21.5,12.4,4.7
28,4,SP98,0,0,0,20.0,34.8,4.0
36,6,SP98,0,0,0,20.0,14.2,5.4
39,10,SP98,0,0,0,20.0,5.2,4.5
42,10,SP98,0,0,0,20.0,10.5,3.6
57,10,SP98,0,0,0,20.0,12.3,5.2
25,11,SP98,0,0,0,20.0,11.8,4.9
58,11,SP98,0,1,0,20.0,12.3,6.2
51,11,SP98,0,1,0,20.0,13.2,4.3
45,11,SP98,0,1,0,20.0,13.0,5.0
32,11,SP98,0,0,0,20.0,12.9,5.1
22,8,SP98,0,0,0,20.0,13.9,5.6
37,6,SP98,0,0,0,20.0,11.8,4.3
60,11,SP98,0,0,0,20.0,12.2,5.8
51,13,SP98,0,0,0,20.0,12.5,4.0
43,10,SP98,0,0,0,21.929521276595743,12.4,4.7
21,9,SP98,1,1,0,20.0,11.8,5.9
52,11,SP98,0,0,0,21.929521276595743,11.8,5.3
57,11,SP98,0,0,0,20.0,12.5,4.2
33,9,SP98,0,0,0,21.929521276595743,15.7,5.3
35,9,SP98,0,0,0,21.929521276595743,12.9,5.7
37,10,SP98,0,0,0,21.929521276595743,6.4,4.4
34,9,SP98,0,0,0,21.929521276595743,5.3,4.1
71,8,SP98,1,1,0,21.0,26.2,5.8
62,9,SP98,0,1,0,21.929521276595743,18.8,5.0
25,12,SP98,0,1,0,21.0,4.9,6.9
18,11,SP98,1,1,0,21.0,12.4,5.4
45,7,SP98,0,0,0,20.5,22.9,5.3
75,1,SP98,0,0,0,23.0,162.7,5.5
26,1,SP98,0,0,0,21.0,4.9,6.5
36,4,SP98,0,0,0,21.0,11.8,4.7
56,7,SP98,0,0,0,21.0,16.6,5.1
37,7,SP98,0,0,0,21.0,12.4,5.7
25,7,SP98,0,0,0,21.0,15.9,5.4
21,5,SP98,0,0,0,23.5,5.1,8.7
66,7,SP98,0,0,0,20.5,22.4,4.9
42,7,SP98,0,0,0,20.5,31.1,4.7
27,3,SP98,0,0,0,20.5,4.9,6.3
26,4,SP98,0,1,0,23.0,11.8,5.1
42,4,SP98,0,1,0,23.0,22.9,6.0
38,1,SP98,0,1,0,23.0,12.4,4.6
40,4,SP98,0,0,0,23.0,12.9,5.8
43,0,SP98,0,0,0,23.0,11.8,5.1
58,2,SP98,0,0,0,23.0,12.2,5.8
55,3,SP98,0,0,0,23.0,24.8,4.6
24,8,SP98,0,0,0,23.0,14.2,5.6
38,0,SP98,0,1,0,23.0,11.8,4.6
57,0,SP98,0,1,0,23.0,12.2,6.3
56,1,SP98,0,0,0,25.0,24.7,5.5
46,2,SP98,0,0,0,24.0,6.8,4.3
37,1,SP98,0,0,0,21.5,17.3,5.6
44,-3,SP98,0,0,0,21.5,11.8,4.3
