distance,consume,speed,temp_outside,gas_type,AC,rain,sun,consume/distance,gas_type_bin
28.0,5.0,26,12,E10,0,0,0,0.17857142857142858,0
12.0,4.2,30,13,E10,0,0,0,0.35000000000000003,0
11.2,5.5,38,15,E10,0,0,0,0.4910714285714286,0
12.9,3.9,36,14,E10,0,0,0,0.3023255813953488,0
18.5,4.5,46,15,E10,0,0,0,0.24324324324324326,0
8.3,6.4,50,10,E10,0,0,0,0.7710843373493975,0
7.8,4.4,43,11,E10,0,0,0,0.5641025641025642,0
12.3,5.0,40,6,E10,0,0,0,0.4065040650406504,0
4.9,6.4,26,4,E10,0,0,0,1.3061224489795917,0
11.9,5.3,30,9,E10,0,0,0,0.4453781512605042,0
12.4,5.6,42,4,E10,0,0,0,0.4516129032258064,0
11.8,4.6,38,0,E10,0,0,0,0.38983050847457623,0
12.3,5.9,59,10,E10,0,0,0,0.4796747967479675,0
24.7,5.1,58,12,E10,0,0,0,0.20647773279352225,0
12.4,4.7,46,11,E10,0,0,0,0.3790322580645161,0
17.3,5.1,24,5,E10,0,0,0,0.29479768786127164,0
33.4,5.6,36,3,E10,0,0,0,0.16766467065868262,0
11.8,5.1,32,3,E10,0,0,0,0.43220338983050843,0
25.9,4.9,39,8,E10,0,0,0,0.1891891891891892,0
11.8,4.7,40,4,E10,0,0,0,0.3983050847457627,0
25.3,5.5,32,3,E10,0,0,0,0.21739130434782608,0
14.2,5.9,38,1,E10,0,0,0,0.41549295774647893,0
17.9,5.7,37,1,E10,0,0,0,0.3184357541899442,0
11.8,4.7,36,1,E10,0,0,0,0.3983050847457627,0
12.3,5.9,62,6,E10,0,0,0,0.4796747967479675,0
12.4,4.1,57,9,E10,0,0,0,0.33064516129032256,0
18.4,5.7,21,2,E10,0,0,0,0.3097826086956522,0
18.4,5.8,28,3,E10,0,0,0,0.31521739130434784,0
18.3,5.5,29,1,E10,0,0,0,0.3005464480874317,0
18.4,5.7,35,4,E10,0,0,0,0.3097826086956522,0
12.3,5.3,51,11,E10,0,0,0,0.4308943089430894,0
11.8,5.0,29,10,E10,0,0,0,0.423728813559322,0
12.3,5.6,58,8,E10,0,0,0,0.4552845528455284,0
32.6,4.8,40,7,E10,0,0,0,0.14723926380368096,0
19.0,4.3,36,7,E10,0,0,0,0.2263157894736842,0
12.1,5.7,36,8,E10,0,0,0,0.4710743801652893,0
20.0,5.2,37,4,E10,0,0,0,0.26,0
4.9,7.4,26,6,E10,0,0,0,1.510204081632653,0
11.8,4.8,23,9,E10,0,0,0,0.4067796610169491,0
12.3,6.5,58,7,E10,0,0,0,0.5284552845528455,0
12.4,4.0,55,7,E10,1,1,0,0.3225806451612903,0
4.5,5.0,29,7,E10,1,0,0,1.1111111111111112,0
11.7,4.6,37,6,E10,0,0,0,0.39316239316239315,0
10.2,4.3,44,7,E10,0,0,0,0.4215686274509804,0
5.4,3.3,32,7,SP98,0,0,0,0.611111111111111,1
2.0,9.9,21,4,SP98,0,0,0,4.95,1
14.2,5.1,32,7,SP98,0,0,0,0.35915492957746475,1
16.0,4.9,25,8,SP98,0,0,0,0.30625,1
11.8,4.9,25,11,SP98,0,0,0,0.4152542372881356,1
27.3,4.7,36,10,SP98,0,0,0,0.17216117216117216,1
11.8,5.1,29,5,SP98,0,1,0,0.43220338983050843,1
10.6,4.9,63,6,SP98,0,0,0,0.4622641509433963,1
11.6,4.2,61,7,SP98,0,0,0,0.3620689655172414,1
13.1,6.1,46,6,SP98,0,1,0,0.46564885496183206,1
6.1,6.4,28,8,SP98,0,0,0,1.0491803278688525,1
153.5,4.9,82,3,SP98,0,1,0,0.03192182410423453,1
11.8,4.9,24,7,SP98,0,0,0,0.4152542372881356,1
12.3,6.2,61,8,SP98,0,0,0,0.5040650406504065,1
12.4,4.2,57,8,SP98,0,0,0,0.33870967741935487,1
12.3,5.7,52,8,SP98,0,1,0,0.46341463414634143,1
2.9,7.9,18,9,SP98,1,1,0,2.724137931034483,1
2.1,12.2,23,9,SP98,1,1,0,5.809523809523809,1
9.8,5.8,24,6,SP98,0,0,0,0.5918367346938775,1
6.8,5.3,26,6,SP98,0,0,0,0.7794117647058824,1
12.4,5.4,24,7,SP98,0,0,0,0.43548387096774194,1
12.4,4.7,57,8,SP98,0,0,0,0.3790322580645161,1
11.8,4.6,41,6,SP98,0,0,0,0.38983050847457623,1
12.3,5.4,55,8,SP98,0,0,0,0.43902439024390244,1
14.0,4.3,40,8,SP98,0,0,0,0.3071428571428571,1
11.8,4.5,37,4,SP98,1,0,0,0.3813559322033898,1
12.3,5.2,55,12,SP98,0,0,0,0.4227642276422764,1
2.0,6.2,20,10,SP98,0,0,0,3.1,1
13.9,5.1,29,6,SP98,0,0,0,0.3669064748201438,1
9.7,3.9,42,8,SP98,0,0,0,0.4020618556701031,1
11.6,5.0,25,6,SP98,0,0,0,0.4310344827586207,1
14.2,5.4,38,7,SP98,0,0,0,0.3802816901408451,1
11.8,4.5,39,6,SP98,0,0,0,0.3813559322033898,1
24.8,5.1,50,9,SP98,0,0,0,0.20564516129032256,1
12.4,4.7,56,7,SP98,0,0,0,0.3790322580645161,1
34.8,4.0,28,4,SP98,0,0,0,0.1149425287356322,1
14.2,5.4,36,6,SP98,0,0,0,0.3802816901408451,1
5.2,4.5,39,10,SP98,0,0,0,0.8653846153846153,1
10.5,3.6,42,10,SP98,0,0,0,0.34285714285714286,1
12.3,5.2,57,10,SP98,0,0,0,0.4227642276422764,1
11.8,4.9,25,11,SP98,0,0,0,0.4152542372881356,1
12.3,6.2,58,11,SP98,0,1,0,0.5040650406504065,1
13.2,4.3,51,11,SP98,0,1,0,0.32575757575757575,1
13.0,5.0,45,11,SP98,0,1,0,0.38461538461538464,1
12.9,5.1,32,11,SP98,0,0,0,0.3953488372093023,1
13.9,5.6,22,8,SP98,0,0,0,0.40287769784172656,1
11.8,4.3,37,6,SP98,0,0,0,0.3644067796610169,1
12.2,5.8,60,11,SP98,0,0,0,0.4754098360655738,1
12.5,4.0,51,13,SP98,0,0,0,0.32,1
12.4,4.7,43,10,SP98,0,0,0,0.3790322580645161,1
11.8,5.9,21,9,SP98,1,1,0,0.5,1
11.8,5.3,52,11,SP98,0,0,0,0.4491525423728813,1
12.5,4.2,57,11,SP98,0,0,0,0.336,1
15.7,5.3,33,9,SP98,0,0,0,0.3375796178343949,1
12.9,5.7,35,9,SP98,0,0,0,0.4418604651162791,1
6.4,4.4,37,10,SP98,0,0,0,0.6875,1
5.3,4.1,34,9,SP98,0,0,0,0.7735849056603773,1
26.2,5.8,71,8,SP98,1,1,0,0.22137404580152673,1
18.8,5.0,62,9,SP98,0,1,0,0.26595744680851063,1
4.9,6.9,25,12,SP98,0,1,0,1.4081632653061225,1
12.4,5.4,18,11,SP98,1,1,0,0.43548387096774194,1
22.9,5.3,45,7,SP98,0,0,0,0.2314410480349345,1
162.7,5.5,75,1,SP98,0,0,0,0.03380454824830977,1
4.9,6.5,26,1,SP98,0,0,0,1.3265306122448979,1
11.8,4.7,36,4,SP98,0,0,0,0.3983050847457627,1
16.6,5.1,56,7,SP98,0,0,0,0.30722891566265054,1
12.4,5.7,37,7,SP98,0,0,0,0.4596774193548387,1
15.9,5.4,25,7,SP98,0,0,0,0.339622641509434,1
5.1,8.7,21,5,SP98,0,0,0,1.7058823529411764,1
22.4,4.9,66,7,SP98,0,0,0,0.21875000000000003,1
31.1,4.7,42,7,SP98,0,0,0,0.15112540192926044,1
4.9,6.3,27,3,SP98,0,0,0,1.2857142857142856,1
11.8,5.1,26,4,SP98,0,1,0,0.43220338983050843,1
22.9,6.0,42,4,SP98,0,1,0,0.26200873362445415,1
12.4,4.6,38,1,SP98,0,1,0,0.3709677419354838,1
12.9,5.8,40,4,SP98,0,0,0,0.44961240310077516,1
11.8,5.1,43,0,SP98,0,0,0,0.43220338983050843,1
12.2,5.8,58,2,SP98,0,0,0,0.4754098360655738,1
24.8,4.6,55,3,SP98,0,0,0,0.1854838709677419,1
14.2,5.6,24,8,SP98,0,0,0,0.39436619718309857,1
11.8,4.6,38,0,SP98,0,1,0,0.38983050847457623,1
12.2,6.3,57,0,SP98,0,1,0,0.5163934426229508,1
24.7,5.5,56,1,SP98,0,0,0,0.22267206477732795,1
6.8,4.3,46,2,SP98,0,0,0,0.6323529411764706,1
17.3,5.6,37,1,SP98,0,0,0,0.32369942196531787,1
11.8,4.3,44,-3,SP98,0,0,0,0.3644067796610169,1
15.9,5.7,46,5,SP98,0,0,0,0.3584905660377358,1
5.1,6.4,39,4,SP98,0,0,0,1.254901960784314,1
16.1,4.5,33,6,SP98,0,0,0,0.2795031055900621,1
11.8,4.5,43,3,SP98,0,0,0,0.3813559322033898,1
4.2,6.0,26,5,SP98,0,0,0,1.4285714285714286,1
17.4,5.1,30,5,SP98,0,0,0,0.2931034482758621,1
23.5,6.0,25,5,SP98,0,1,0,0.2553191489361702,1
11.8,4.5,38,5,SP98,0,1,0,0.3813559322033898,1
12.3,6.1,61,10,SP98,0,1,0,0.4959349593495934,1
16.1,5.4,24,7,E10,0,1,0,0.3354037267080745,0
11.8,4.3,40,10,E10,0,1,0,0.3644067796610169,0
12.3,5.4,58,13,E10,0,0,0,0.43902439024390244,0
