distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,fuel_used,trip_cost
28.0,5.0,26,21.5,12,E10,0,0,0,1.4,2.66
12.0,4.2,30,21.5,13,E10,0,0,0,0.5,0.95
11.2,5.5,38,21.5,15,E10,0,0,0,0.62,1.18
12.9,3.9,36,21.5,14,E10,0,0,0,0.5,0.95
18.5,4.5,46,21.5,15,E10,0,0,0,0.83,1.58
8.3,6.4,50,21.5,10,E10,0,0,0,0.53,1.01
7.8,4.4,43,21.5,11,E10,0,0,0,0.34,0.65
12.3,5.0,40,21.5,6,E10,0,0,0,0.62,1.18
4.9,6.4,26,21.5,4,E10,0,0,0,0.31,0.59
11.9,5.3,30,21.5,9,E10,0,0,0,0.63,1.2
12.4,5.6,42,21.5,4,E10,0,0,0,0.69,1.31
11.8,4.6,38,21.5,0,E10,0,0,0,0.54,1.03
12.3,5.9,59,21.5,10,E10,0,0,0,0.73,1.39
24.7,5.1,58,21.5,12,E10,0,0,0,1.26,2.39
12.4,4.7,46,21.5,11,E10,0,0,0,0.58,1.1
17.3,5.1,24,21.5,5,E10,0,0,0,0.88,1.67
33.4,5.6,36,21.5,3,E10,0,0,0,1.87,3.55
11.8,5.1,32,21.5,3,E10,0,0,0,0.6,1.14
25.9,4.9,39,21.5,8,E10,0,0,0,1.27,2.41
11.8,4.7,40,21.5,4,E10,0,0,0,0.55,1.04
25.3,5.5,32,21.5,3,E10,0,0,0,1.39,2.64
14.2,5.9,38,21.5,1,E10,0,0,0,0.84,1.6
17.9,5.7,37,21.5,1,E10,0,0,0,1.02,1.94
11.8,4.7,36,21.5,1,E10,0,0,0,0.55,1.04
12.3,5.9,62,21.5,6,E10,0,0,0,0.73,1.39
12.4,4.1,57,21.5,9,E10,0,0,0,0.51,0.97
18.4,5.7,21,22.5,2,E10,0,0,0,1.05,2.0
18.4,5.8,28,21.5,3,E10,0,0,0,1.07,2.03
18.3,5.5,29,21.5,1,E10,0,0,0,1.01,1.92
18.4,5.7,35,21.5,4,E10,0,0,0,1.05,2.0
12.3,5.3,51,21.5,11,E10,0,0,0,0.65,1.23
11.8,5.0,29,21.5,10,E10,0,0,0,0.59,1.12
12.3,5.6,58,21.5,8,E10,0,0,0,0.69,1.31
32.6,4.8,40,21.5,7,E10,0,0,0,1.56,2.96
19.0,4.3,36,21.5,7,E10,0,0,0,0.82,1.56
12.1,5.7,36,21.5,8,E10,0,0,0,0.69,1.31
20.0,5.2,37,21.5,4,E10,0,0,0,1.04,1.98
4.9,7.4,26,21.5,6,E10,0,0,0,0.36,0.68
11.8,4.8,23,21.5,9,E10,0,0,0,0.57,1.08
12.3,6.5,58,21.5,7,E10,0,0,0,0.8,1.52
12.4,4.0,55,21.5,7,E10,1,1,0,0.5,0.95
4.5,5.0,29,21.5,7,E10,1,0,0,0.22,0.42
11.7,4.6,37,21.5,6,E10,0,0,0,0.54,1.03
10.2,4.3,44,21.5,7,E10,0,0,0,0.44,0.84
5.4,3.3,32,21.5,7,SP98,0,0,0,0.18,0.36
2.0,9.9,21,21.5,4,SP98,0,0,0,0.2,0.4
14.2,5.1,32,21.5,7,SP98,0,0,0,0.72,1.44
16.0,4.9,25,21.5,8,SP98,0,0,0,0.78,1.56
11.8,4.9,25,21.5,11,SP98,0,0,0,0.58,1.16
27.3,4.7,36,21.5,10,SP98,0,0,0,1.28,2.56
11.8,5.1,29,21.5,5,SP98,0,1,0,0.6,1.2
10.6,4.9,63,21.5,6,SP98,0,0,0,0.52,1.04
11.6,4.2,61,21.5,7,SP98,0,0,0,0.49,0.98
13.1,6.1,46,21.5,6,SP98,0,1,0,0.8,1.6
6.1,6.4,28,21.5,8,SP98,0,0,0,0.39,0.78
153.5,4.9,82,21.5,3,SP98,0,1,0,7.52,15.04
11.8,4.9,24,21.5,7,SP98,0,0,0,0.58,1.16
12.3,6.2,61,21.5,8,SP98,0,0,0,0.76,1.52
12.4,4.2,57,21.5,8,SP98,0,0,0,0.52,1.04
12.3,5.7,52,21.5,8,SP98,0,1,0,0.7,1.4
2.9,7.9,18,21.5,9,SP98,1,1,0,0.23,0.46
2.1,12.2,23,21.5,9,SP98,1,1,0,0.26,0.52
9.8,5.8,24,21.5,6,SP98,0,0,0,0.57,1.14
6.8,5.3,26,21.5,6,SP98,0,0,0,0.36,0.72
12.4,5.4,24,21.5,7,SP98,0,0,0,0.67,1.34
12.4,4.7,57,21.5,8,SP98,0,0,0,0.58,1.16
11.8,4.6,41,21.5,6,SP98,0,0,0,0.54,1.08
12.3,5.4,55,21.5,8,SP98,0,0,0,0.66,1.32
14.0,4.3,40,21.5,8,SP98,0,0,0,0.6,1.2
11.8,4.5,37,21.5,4,SP98,1,0,0,0.53,1.06
12.3,5.2,55,21.5,12,SP98,0,0,0,0.64,1.28
2.0,6.2,20,21.5,10,SP98,0,0,0,0.12,0.24
13.9,5.1,29,21.5,6,SP98,0,0,0,0.71,1.42
9.7,3.9,42,21.5,8,SP98,0,0,0,0.38,0.76
11.6,5.0,25,21.5,6,SP98,0,0,0,0.58,1.16
14.2,5.4,38,21.5,7,SP98,0,0,0,0.77,1.54
11.8,4.5,39,21.5,6,SP98,0,0,0,0.53,1.06
24.8,5.1,50,21.5,9,SP98,0,0,0,1.26,2.52
12.4,4.7,56,21.5,7,SP98,0,0,0,0.58,1.16
34.8,4.0,28,20.0,4,SP98,0,0,0,1.39,2.78
14.2,5.4,36,20.0,6,SP98,0,0,0,0.77,1.54
5.2,4.5,39,20.0,10,SP98,0,0,0,0.23,0.46
10.5,3.6,42,20.0,10,SP98,0,0,0,0.38,0.76
12.3,5.2,57,20.0,10,SP98,0,0,0,0.64,1.28
11.8,4.9,25,20.0,11,SP98,0,0,0,0.58,1.16
12.3,6.2,58,20.0,11,SP98,0,1,0,0.76,1.52
13.2,4.3,51,20.0,11,SP98,0,1,0,0.57,1.14
13.0,5.0,45,20.0,11,SP98,0,1,0,0.65,1.3
12.9,5.1,32,20.0,11,SP98,0,0,0,0.66,1.32
13.9,5.6,22,20.0,8,SP98,0,0,0,0.78,1.56
11.8,4.3,37,20.0,6,SP98,0,0,0,0.51,1.02
12.2,5.8,60,20.0,11,SP98,0,0,0,0.71,1.42
12.5,4.0,51,20.0,13,SP98,0,0,0,0.5,1.0
12.4,4.7,43,21.929521276595743,10,SP98,0,0,0,0.58,1.16
11.8,5.9,21,20.0,9,SP98,1,1,0,0.7,1.4
11.8,5.3,52,21.929521276595743,11,SP98,0,0,0,0.63,1.26
12.5,4.2,57,20.0,11,SP98,0,0,0,0.52,1.04
15.7,5.3,33,21.929521276595743,9,SP98,0,0,0,0.83,1.66
12.9,5.7,35,21.929521276595743,9,SP98,0,0,0,0.74,1.48
6.4,4.4,37,21.929521276595743,10,SP98,0,0,0,0.28,0.56
5.3,4.1,34,21.929521276595743,9,SP98,0,0,0,0.22,0.44
26.2,5.8,71,21.0,8,SP98,1,1,0,1.52,3.04
18.8,5.0,62,21.929521276595743,9,SP98,0,1,0,0.94,1.88
4.9,6.9,25,21.0,12,SP98,0,1,0,0.34,0.68
12.4,5.4,18,21.0,11,SP98,1,1,0,0.67,1.34
22.9,5.3,45,20.5,7,SP98,0,0,0,1.21,2.42
162.7,5.5,75,23.0,1,SP98,0,0,0,8.95,17.9
4.9,6.5,26,21.0,1,SP98,0,0,0,0.32,0.64
11.8,4.7,36,21.0,4,SP98,0,0,0,0.55,1.1
16.6,5.1,56,21.0,7,SP98,0,0,0,0.85,1.7
12.4,5.7,37,21.0,7,SP98,0,0,0,0.71,1.42
15.9,5.4,25,21.0,7,SP98,0,0,0,0.86,1.72
5.1,8.7,21,23.5,5,SP98,0,0,0,0.44,0.88
22.4,4.9,66,20.5,7,SP98,0,0,0,1.1,2.2
31.1,4.7,42,20.5,7,SP98,0,0,0,1.46,2.92
4.9,6.3,27,20.5,3,SP98,0,0,0,0.31,0.62
11.8,5.1,26,23.0,4,SP98,0,1,0,0.6,1.2
22.9,6.0,42,23.0,4,SP98,0,1,0,1.37,2.74
12.4,4.6,38,23.0,1,SP98,0,1,0,0.57,1.14
12.9,5.8,40,23.0,4,SP98,0,0,0,0.75,1.5
11.8,5.1,43,23.0,0,SP98,0,0,0,0.6,1.2
12.2,5.8,58,23.0,2,SP98,0,0,0,0.71,1.42
24.8,4.6,55,23.0,3,SP98,0,0,0,1.14,2.28
14.2,5.6,24,23.0,8,SP98,0,0,0,0.8,1.6
11.8,4.6,38,23.0,0,SP98,0,1,0,0.54,1.08
12.2,6.3,57,23.0,0,SP98,0,1,0,0.77,1.54
24.7,5.5,56,25.0,1,SP98,0,0,0,1.36,2.72
6.8,4.3,46,24.0,2,SP98,0,0,0,0.29,0.58
17.3,5.6,37,21.5,1,SP98,0,0,0,0.97,1.94
11.8,4.3,44,21.5,-3,SP98,0,0,0,0.51,1.02
15.9,5.7,46,21.5,5,SP98,0,0,0,0.91,1.82
5.1,6.4,39,21.5,4,SP98,0,0,0,0.33,0.66
16.1,4.5,33,21.5,6,SP98,0,0,0,0.72,1.44
11.8,4.5,43,21.5,3,SP98,0,0,0,0.53,1.06
4.2,6.0,26,21.5,5,SP98,0,0,0,0.25,0.5
17.4,5.1,30,21.5,5,SP98,0,0,0,0.89,1.78
23.5,6.0,25,21.5,5,SP98,0,1,0,1.41,2.82
11.8,4.5,38,21.5,5,SP98,0,1,0,0.53,1.06
12.3,6.1,61,21.5,10,SP98,0,1,0,0.75,1.5
16.1,5.4,24,21.5,7,E10,0,1,0,0.87,1.65
11.8,4.3,40,21.5,10,E10,0,1,0,0.51,0.97
12.3,5.4,58,21.5,13,E10,0,0,0,0.66,1.25
12.4,4.3,49,21.5,17,E10,0,0,0,0.53,1.01
7.0,5.2,25,21.5,17,E10,0,0,0,0.36,0.68
11.8,4.1,37,21.5,10,E10,0,0,0,0.48,0.91
20.1,4.4,41,21.5,18,E10,0,0,0,0.88,1.67
20.8,4.5,45,21.5,10,E10,0,0,0,0.94,1.79
1.7,10.8,14,21.5,10,E10,0,1,0,0.18,0.34
35.9,4.7,45,21.5,12,E10,0,0,0,1.69,3.21
36.9,4.8,52,21.5,5,E10,0,0,0,1.77,3.36
16.8,4.0,46,21.5,8,E10,0,0,0,0.67,1.27
9.9,5.0,28,21.5,9,E10,0,0,0,0.5,0.95
22.9,4.6,61,21.5,7,E10,0,1,0,1.05,2.0
17.3,5.0,61,21.5,6,E10,1,1,0,0.86,1.63
11.8,4.3,37,21.5,7,E10,0,0,0,0.51,0.97
36.6,5.2,80,21.5,7,E10,0,1,0,1.9,3.61
44.9,4.7,62,21.5,8,E10,0,0,0,2.11,4.01
11.8,4.2,34,21.5,9,E10,0,1,0,0.5,0.95
21.6,5.3,44,21.5,9,E10,0,1,0,1.14,2.17
39.4,5.3,60,21.5,9,E10,0,1,0,2.09,3.97
5.1,8.1,39,21.5,4,E10,0,0,0,0.41,0.78
26.6,4.8,38,21.5,7,E10,0,0,0,1.28,2.43
53.2,5.1,71,21.5,2,E10,0,0,0,2.71,5.15
18.9,4.4,53,21.5,2,E10,0,0,0,0.83,1.58
43.5,5.0,80,21.5,3,E10,0,0,0,2.17,4.12
6.1,6.3,26,21.5,5,E10,0,0,0,0.38,0.72
16.4,4.8,49,21.5,5,E10,0,0,0,0.79,1.5
12.3,6.1,40,21.5,6,E10,0,0,0,0.75,1.42
21.1,4.6,36,21.5,8,E10,0,0,0,0.97,1.84
21.1,4.8,43,21.5,7,E10,0,0,0,1.01,1.92
22.7,4.7,55,21.5,6,E10,0,0,0,1.07,2.03
44.4,4.8,38,21.5,8,E10,0,0,0,2.13,4.05
35.8,4.4,51,21.5,6,E10,0,0,0,1.58,3.0
11.8,4.9,44,21.5,0,E10,0,0,0,0.58,1.1
26.2,4.9,42,21.5,6,E10,0,0,0,1.28,2.43
40.6,4.4,44,21.0,3,E10,0,0,0,1.79,3.4
12.4,5.3,38,21.0,-5,E10,0,0,0,0.66,1.25
14.1,5.3,47,21.0,-3,E10,0,0,0,0.75,1.42
58.7,4.8,75,21.0,0,E10,0,0,0,2.82,5.36
16.2,5.2,29,21.0,0,E10,0,0,0,0.84,1.6
12.3,4.9,50,22.5,0,E10,0,0,0,0.6,1.14
12.3,7.1,52,22.5,0,E10,1,1,0,0.87,1.65
12.4,5.2,51,22.5,1,E10,0,0,0,0.64,1.22
31.8,4.7,59,22.5,3,E10,0,0,0,1.49,2.83
12.3,5.1,55,22.5,8,E10,0,0,0,0.63,1.2
51.6,5.0,73,22.5,12,E10,0,0,0,2.58,4.9
38.6,4.6,44,22.5,10,E10,0,0,0,1.78,3.38
12.3,4.8,41,22.5,7,E10,0,0,0,0.59,1.12
81.2,4.4,69,22.0,13,E10,0,0,0,3.57,6.78
130.3,4.6,85,22.0,12,E10,0,0,0,5.99,11.38
67.2,4.3,67,22.0,18,E10,0,0,0,2.89,5.49
43.7,4.7,44,22.0,9,SP98,0,1,0,2.05,4.1
12.1,4.2,43,22.0,4,SP98,0,0,0,0.51,1.02
56.1,4.8,82,22.0,13,SP98,0,0,0,2.69,5.38
39.0,4.1,61,22.0,16,SP98,0,0,0,1.6,3.2
11.8,4.5,41,21.5,13,SP98,0,0,0,0.53,1.06
38.5,4.8,63,21.5,14,SP98,0,0,0,1.85,3.7
28.2,4.6,54,21.5,14,SP98,0,0,0,1.3,2.6
2.9,7.4,24,21.5,14,SP98,0,0,0,0.21,0.42
6.1,5.6,24,21.5,13,SP98,0,0,0,0.34,0.68
19.6,4.9,43,21.5,13,SP98,0,0,0,0.96,1.92
22.2,3.8,42,21.929521276595743,15,SP98,0,0,0,0.84,1.68
13.6,4.5,44,19.0,18,SP98,0,0,0,0.61,1.22
12.6,4.1,33,21.929521276595743,17,SP98,0,0,0,0.52,1.04
8.7,5.3,28,22.5,12,SP98,1,1,0,0.46,0.92
7.9,4.7,31,22.5,12,SP98,1,0,0,0.37,0.74
2.4,9.0,26,20.0,10,SP98,0,0,0,0.22,0.44
4.9,6.3,26,20.0,10,SP98,0,0,0,0.31,0.62
18.1,3.6,36,20.0,19,SP98,0,0,0,0.65,1.3
25.9,3.7,39,20.0,21,SP98,0,0,0,0.96,1.92
1.3,11.5,21,20.0,10,SP98,0,0,0,0.15,0.3
14.1,5.0,22,20.0,12,SP98,0,0,0,0.7,1.4
13.4,5.5,31,20.0,9,SP98,0,0,0,0.74,1.48
6.4,4.7,33,20.0,8,SP98,0,0,0,0.3,0.6
12.9,4.5,42,20.0,13,SP98,0,0,0,0.58,1.16
12.1,4.4,33,22.5,5,SP98,0,0,0,0.53,1.06
15.7,4.1,32,22.5,13,SP98,0,0,0,0.64,1.28
16.2,4.4,26,22.5,11,SP98,0,0,0,0.71,1.42
