distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials_AC rain,specials_AC snow,specials_AC sun,specials_other,specials_rain,specials_rain+sun,specials_snow,specials_sun,gas_type_SP98,refill_gas_SP98,refill_gas_no
28.0,5.0,26,21.5,12,0,0,0,45.0,0,0,0,1,0,0,0,0,0,0,0
12.0,4.2,30,21.5,13,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.2,5.5,38,21.5,15,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.9,3.9,36,21.5,14,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
18.5,4.5,46,21.5,15,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
8.3,6.4,50,21.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
7.8,4.4,43,21.5,11,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,5.0,40,21.5,6,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
4.9,6.4,26,21.5,4,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.9,5.3,30,21.5,9,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.4,5.6,42,21.5,4,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,4.6,38,21.5,0,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.3,5.9,59,21.5,10,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
24.7,5.1,58,21.5,12,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
12.4,4.7,46,21.5,11,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
17.3,5.1,24,21.5,5,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
33.4,5.6,36,21.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
11.8,5.1,32,21.5,3,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
25.9,4.9,39,21.5,8,0,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1
