distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,consume_pred
28.0,5.0,26,21.5,12,E10,0,0,0,4.468459523809523
12.0,4.2,30,21.5,13,E10,0,0,0,4.480152380952381
11.2,5.5,38,21.5,15,E10,0,0,0,4.999559523809524
12.9,3.9,36,21.5,14,E10,0,0,0,4.637108333333334
18.5,4.5,46,21.5,15,E10,0,0,0,4.3295499999999985
8.3,6.4,50,21.5,10,E10,0,0,0,4.60407857142857
7.8,4.4,43,21.5,11,E10,0,0,0,4.611609523809521
12.3,5.0,40,21.5,6,E10,0,0,0,5.151219444444443
4.9,6.4,26,21.5,4,E10,0,0,0,6.771967857142857
11.9,5.3,30,21.5,9,E10,0,0,0,4.819042460317459
12.4,5.6,42,21.5,4,E10,0,0,0,5.325355158730158
11.8,4.6,38,21.5,0,E10,0,0,0,4.645910714285717
12.3,5.9,59,21.5,10,E10,0,0,0,5.765204761904762
24.7,5.1,58,21.5,12,E10,0,0,0,4.804809523809523
12.4,4.7,46,21.5,11,E10,0,0,0,4.713778571428573
17.3,5.1,24,21.5,5,E10,0,0,0,5.41220476190476
33.4,5.6,36,21.5,3,E10,0,0,0,5.257747619047618
11.8,5.1,32,21.5,3,E10,0,0,0,4.930683333333334
25.9,4.9,39,21.5,8,E10,0,0,0,4.7911349206349225
11.8,4.7,40,21.5,4,E10,0,0,0,4.599150000000002
25.3,5.5,32,21.5,3,E10,0,0,0,5.417221428571429
14.2,5.9,38,21.5,1,E10,0,0,0,5.605151587301588
17.9,5.7,37,21.5,1,E10,0,0,0,5.395902380952379
11.8,4.7,36,21.5,1,E10,0,0,0,4.758445238095239
12.3,5.9,62,21.5,6,E10,0,0,0,5.6803928571428575
12.4,4.1,57,21.5,9,E10,0,0,0,4.636303968253967
18.4,5.7,21,22.5,2,E10,0,0,0,5.693367063492061
18.4,5.8,28,21.5,3,E10,0,0,0,5.58455476190476
18.3,5.5,29,21.5,1,E10,0,0,0,5.465165873015873
18.4,5.7,35,21.5,4,E10,0,0,0,5.488264285714285
12.3,5.3,51,21.5,11,E10,0,0,0,4.988640476190475
11.8,5.0,29,21.5,10,E10,0,0,0,4.804146031746033
12.3,5.6,58,21.5,8,E10,0,0,0,5.5865277777777775
32.6,4.8,40,21.5,7,E10,0,0,0,4.750460714285715
19.0,4.3,36,21.5,7,E10,0,0,0,4.641409523809522
12.1,5.7,36,21.5,8,E10,0,0,0,5.103551587301586
20.0,5.2,37,21.5,4,E10,0,0,0,5.318885714285714
4.9,7.4,26,21.5,6,E10,0,0,0,6.9496761904761915
11.8,4.8,23,21.5,9,E10,0,0,0,5.029375793650794
12.3,6.5,58,21.5,7,E10,0,0,0,5.558226190476189
12.4,4.0,55,21.5,7,E10,1,1,0,4.7109666666666685
4.5,5.0,29,21.5,7,E10,1,0,0,5.852959523809524
11.7,4.6,37,21.5,6,E10,0,0,0,4.537780952380953
10.2,4.3,44,21.5,7,E10,0,0,0,4.3921142857142845
5.4,3.3,32,21.5,7,SP98,0,0,0,4.42747857142857
2.0,9.9,21,21.5,4,SP98,0,0,0,8.773189285714283
14.2,5.1,32,21.5,7,SP98,0,0,0,5.33635595238095
16.0,4.9,25,21.5,8,SP98,0,0,0,4.928139285714284
11.8,4.9,25,21.5,11,SP98,0,0,0,4.936096825396826
27.3,4.7,36,21.5,10,SP98,0,0,0,4.722650000000002
11.8,5.1,29,21.5,5,SP98,0,1,0,5.159464682539684
10.6,4.9,63,21.5,6,SP98,0,0,0,4.882461904761905
11.6,4.2,61,21.5,7,SP98,0,0,0,4.812505952380953
13.1,6.1,46,21.5,6,SP98,0,1,0,5.617922619047616
6.1,6.4,28,21.5,8,SP98,0,0,0,5.489383333333335
153.5,4.9,82,21.5,3,SP98,0,1,0,5.282198160173159
11.8,4.9,24,21.5,7,SP98,0,0,0,5.253894047619046
12.3,6.2,61,21.5,8,SP98,0,0,0,5.651045634920634
12.4,4.2,57,21.5,8,SP98,0,0,0,4.610177777777776
12.3,5.7,52,21.5,8,SP98,0,1,0,5.545332539682537
2.9,7.9,18,21.5,9,SP98,1,1,0,8.6573619047619
2.1,12.2,23,21.5,9,SP98,1,1,0,9.657007142857141
9.8,5.8,24,21.5,6,SP98,0,0,0,5.582164285714287
6.8,5.3,26,21.5,6,SP98,0,0,0,5.469970238095239
12.4,5.4,24,21.5,7,SP98,0,0,0,5.371052380952379
12.4,4.7,57,21.5,8,SP98,0,0,0,4.610177777777776
11.8,4.6,41,21.5,6,SP98,0,0,0,4.599150000000002
12.3,5.4,55,21.5,8,SP98,0,0,0,5.242934920634919
14.0,4.3,40,21.5,8,SP98,0,0,0,4.7205369047619055
11.8,4.5,37,21.5,4,SP98,1,0,0,4.545819047619048
12.3,5.2,55,21.5,12,SP98,0,0,0,5.06083095238095
2.0,6.2,20,21.5,10,SP98,0,0,0,8.010402380952378
13.9,5.1,29,21.5,6,SP98,0,0,0,5.437151587301584
9.7,3.9,42,21.5,8,SP98,0,0,0,4.523335714285711
11.6,5.0,25,21.5,6,SP98,0,0,0,5.263367857142855
14.2,5.4,38,21.5,7,SP98,0,0,0,5.148855952380952
11.8,4.5,39,21.5,6,SP98,0,0,0,4.579035714285715
24.8,5.1,50,21.5,9,SP98,0,0,0,4.788223015873016
12.4,4.7,56,21.5,7,SP98,0,0,0,4.717896825396825
34.8,4.0,28,20.0,4,SP98,0,0,0,4.733094047619049
14.2,5.4,36,20.0,6,SP98,0,0,0,5.338346428571426
