distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,refill_liters,specials,gas_type,refill_gas,fuel_price_liter,fuel_consume_km,trip_cost,cost_km
28.0,5.0,26,21.5,12,0,0,0,45.0,other,E10,E10,1.38,1.4,1.9599999999999997,0.06999999999999999
12.0,4.2,30,21.5,13,0,0,0,0.0,other,E10,E10,1.38,0.504,0.254016,0.021168000000000003
11.2,5.5,38,21.5,15,0,0,0,0.0,other,E10,E10,1.38,0.616,0.379456,0.03388
12.9,3.9,36,21.5,14,0,0,0,0.0,other,E10,E10,1.38,0.5031,0.25310961,0.019620899999999997
18.5,4.5,46,21.5,15,0,0,0,0.0,other,E10,E10,1.38,0.8325,0.69305625,0.0374625
8.3,6.4,50,21.5,10,0,0,0,0.0,other,E10,E10,1.38,0.5312,0.28217344,0.033996799999999994
7.8,4.4,43,21.5,11,0,0,0,0.0,other,E10,E10,1.38,0.3432,0.11778624,0.015100800000000001
12.3,5.0,40,21.5,6,0,0,0,0.0,other,E10,E10,1.38,0.615,0.378225,0.030749999999999996
4.9,6.4,26,21.5,4,0,0,0,0.0,other,E10,E10,1.38,0.31360000000000005,0.09834496000000002,0.020070400000000002
11.9,5.3,30,21.5,9,0,0,0,0.0,other,E10,E10,1.38,0.6307,0.39778249000000004,0.0334271
12.4,5.6,42,21.5,4,0,0,0,0.0,other,E10,E10,1.38,0.6944,0.48219136,0.0388864
11.8,4.6,38,21.5,0,0,0,0,0.0,other,E10,E10,1.38,0.5428000000000001,0.2946318400000001,0.024968800000000006
12.3,5.9,59,21.5,10,0,0,0,0.0,other,E10,E10,1.38,0.7257000000000001,0.5266404900000001,0.04281630000000001
24.7,5.1,58,21.5,12,0,0,0,0.0,other,E10,E10,1.38,1.2596999999999998,1.5868440899999996,0.06424469999999999
12.4,4.7,46,21.5,11,0,0,0,0.0,other,E10,E10,1.38,0.5828,0.33965584,0.0273916
