speed,gas_type,AC,rain,sun,total_consumed,diff_temp
26,E10,0,0,0,140.0,9.5
30,E10,0,0,0,50.400000000000006,8.5
38,E10,0,0,0,61.599999999999994,6.5
36,E10,0,0,0,50.31,7.5
46,E10,0,0,0,83.25,6.5
50,E10,0,0,0,53.120000000000005,11.5
43,E10,0,0,0,34.32,10.5
40,E10,0,0,0,61.5,15.5
26,E10,0,0,0,31.360000000000003,17.5
30,E10,0,0,0,63.07,12.5
42,E10,0,0,0,69.44,17.5
38,E10,0,0,0,54.28,21.5
59,E10,0,0,0,72.57000000000001,11.5
58,E10,0,0,0,125.96999999999998,9.5
46,E10,0,0,0,58.28,10.5
24,E10,0,0,0,88.23,16.5
36,E10,0,0,0,187.04,18.5
32,E10,0,0,0,60.18,18.5
39,E10,0,0,0,126.91,13.5
40,E10,0,0,0,55.46000000000001,17.5
32,E10,0,0,0,139.15,18.5
38,E10,0,0,0,83.78,20.5
37,E10,0,0,0,102.03,20.5
36,E10,0,0,0,55.46000000000001,20.5
62,E10,0,0,0,72.57000000000001,15.5
57,E10,0,0,0,50.839999999999996,12.5
21,E10,0,0,0,104.88,20.5
28,E10,0,0,0,106.71999999999998,18.5
29,E10,0,0,0,100.65,20.5
35,E10,0,0,0,104.88,17.5
51,E10,0,0,0,65.19,10.5
29,E10,0,0,0,59.0,11.5
58,E10,0,0,0,68.88,13.5
40,E10,0,0,0,156.48,14.5
36,E10,0,0,0,81.7,14.5
36,E10,0,0,0,68.97,13.5
37,E10,0,0,0,104.0,17.5
26,E10,0,0,0,36.260000000000005,15.5
23,E10,0,0,0,56.64,12.5
58,E10,0,0,0,79.95,14.5
55,E10,1,1,0,49.6,14.5
29,E10,1,0,0,22.5,14.5
37,E10,0,0,0,53.81999999999999,15.5
44,E10,0,0,0,43.85999999999999,14.5
32,SP98,0,0,0,17.82,14.5
21,SP98,0,0,0,19.8,17.5
32,SP98,0,0,0,72.41999999999999,14.5
25,SP98,0,0,0,78.4,13.5
25,SP98,0,0,0,57.82000000000001,10.5
36,SP98,0,0,0,128.31,11.5
29,SP98,0,1,0,60.18,16.5
63,SP98,0,0,0,51.940000000000005,15.5
61,SP98,0,0,0,48.72,14.5
46,SP98,0,1,0,79.91,15.5
28,SP98,0,0,0,39.04,13.5
82,SP98,0,1,0,752.1500000000001,18.5
24,SP98,0,0,0,57.82000000000001,14.5
61,SP98,0,0,0,76.26,13.5
57,SP98,0,0,0,52.080000000000005,13.5
52,SP98,0,1,0,70.11,13.5
18,SP98,1,1,0,22.91,12.5
23,SP98,1,1,0,25.62,12.5
24,SP98,0,0,0,56.84,15.5
26,SP98,0,0,0,36.04,15.5
24,SP98,0,0,0,66.96000000000001,14.5
57,SP98,0,0,0,58.28,13.5
41,SP98,0,0,0,54.28,15.5
55,SP98,0,0,0,66.42,13.5
40,SP98,0,0,0,60.199999999999996,13.5
37,SP98,1,0,0,53.1,17.5
55,SP98,0,0,0,63.96000000000001,9.5
20,SP98,0,0,0,12.4,11.5
29,SP98,0,0,0,70.89,15.5
42,SP98,0,0,0,37.83,13.5
25,SP98,0,0,0,58.0,15.5
38,SP98,0,0,0,76.68,14.5
39,SP98,0,0,0,53.1,15.5
50,SP98,0,0,0,126.47999999999999,12.5
56,SP98,0,0,0,58.28,14.5
28,SP98,0,0,0,139.2,16.0
36,SP98,0,0,0,76.68,14.0
39,SP98,0,0,0,23.400000000000002,10.0
42,SP98,0,0,0,37.800000000000004,10.0
57,SP98,0,0,0,63.96000000000001,10.0
25,SP98,0,0,0,57.82000000000001,9.0
58,SP98,0,1,0,76.26,9.0
51,SP98,0,1,0,56.76,9.0
45,SP98,0,1,0,65.0,9.0
32,SP98,0,0,0,65.78999999999999,9.0
22,SP98,0,0,0,77.84,12.0
37,SP98,0,0,0,50.74,14.0
60,SP98,0,0,0,70.75999999999999,9.0
51,SP98,0,0,0,50.0,7.0
43,SP98,0,0,0,58.28,11.929521276595743
21,SP98,1,1,0,69.62,11.0
52,SP98,0,0,0,62.54,10.929521276595743
57,SP98,0,0,0,52.5,9.0
33,SP98,0,0,0,83.21,12.929521276595743
35,SP98,0,0,0,73.53,12.929521276595743
37,SP98,0,0,0,28.160000000000004,11.929521276595743
34,SP98,0,0,0,21.729999999999997,12.929521276595743
71,SP98,1,1,0,151.95999999999998,13.0
62,SP98,0,1,0,94.0,12.929521276595743
25,SP98,0,1,0,33.81,9.0
18,SP98,1,1,0,66.96000000000001,10.0
45,SP98,0,0,0,121.36999999999999,13.5
75,SP98,0,0,0,894.8499999999999,22.0
26,SP98,0,0,0,31.85,20.0
36,SP98,0,0,0,55.46000000000001,17.0
56,SP98,0,0,0,84.66,14.0
37,SP98,0,0,0,70.68,14.0
25,SP98,0,0,0,85.86000000000001,14.0
21,SP98,0,0,0,44.36999999999999,18.5
66,SP98,0,0,0,109.76,13.5
42,SP98,0,0,0,146.17000000000002,13.5
27,SP98,0,0,0,30.87,17.5
26,SP98,0,1,0,60.18,19.0
42,SP98,0,1,0,137.39999999999998,19.0
38,SP98,0,1,0,57.04,22.0
40,SP98,0,0,0,74.82,19.0
43,SP98,0,0,0,60.18,23.0
58,SP98,0,0,0,70.75999999999999,21.0
55,SP98,0,0,0,114.08,20.0
24,SP98,0,0,0,79.52,15.0
38,SP98,0,1,0,54.28,23.0
57,SP98,0,1,0,76.86,23.0
56,SP98,0,0,0,135.85,24.0
46,SP98,0,0,0,29.24,22.0
37,SP98,0,0,0,96.88,20.5
44,SP98,0,0,0,50.74,24.5
46,SP98,0,0,0,90.63000000000001,16.5
39,SP98,0,0,0,32.64,17.5
33,SP98,0,0,0,72.45,15.5
43,SP98,0,0,0,53.1,18.5
26,SP98,0,0,0,25.200000000000003,16.5
30,SP98,0,0,0,88.73999999999998,16.5
25,SP98,0,1,0,141.0,16.5
38,SP98,0,1,0,53.1,16.5
61,SP98,0,1,0,75.03,11.5
24,E10,0,1,0,86.94000000000001,14.5
40,E10,0,1,0,50.74,11.5
58,E10,0,0,0,66.42,8.5
49,E10,0,0,0,53.32,4.5
25,E10,0,0,0,36.4,4.5
37,E10,0,0,0,48.379999999999995,11.5
41,E10,0,0,0,88.44000000000001,3.5
45,E10,0,0,0,93.60000000000001,11.5
14,E10,0,1,0,18.36,11.5
45,E10,0,0,0,168.73,9.5
52,E10,0,0,0,177.11999999999998,16.5
46,E10,0,0,0,67.2,13.5
28,E10,0,0,0,49.5,12.5
61,E10,0,1,0,105.33999999999999,14.5
61,E10,1,1,0,86.5,15.5
37,E10,0,0,0,50.74,14.5
80,E10,0,1,0,190.32000000000002,14.5
62,E10,0,0,0,211.03,13.5
34,E10,0,1,0,49.56,12.5
