distance,consume,speed,speed_level,temp_inside,temp_outside,temp_level,gas_type,ac,rain,sun
28.0,5.0,26,Low,21.5,12,Mid,E10,0,0,0
12.0,4.2,30,Low,21.5,13,Mid,E10,0,0,0
11.2,5.5,38,Mid,21.5,15,Mid,E10,0,0,0
12.9,3.9,36,Mid,21.5,14,Mid,E10,0,0,0
18.5,4.5,46,Mid,21.5,15,Mid,E10,0,0,0
8.3,6.4,50,Mid,21.5,10,Cold,E10,0,0,0
7.8,4.4,43,Mid,21.5,11,Mid,E10,0,0,0
12.3,5.0,40,Mid,21.5,6,Cold,E10,0,0,0
4.9,6.4,26,Low,21.5,4,Cold,E10,0,0,0
11.9,5.3,30,Low,21.5,9,Cold,E10,0,0,0
12.4,5.6,42,Mid,21.5,4,Cold,E10,0,0,0
11.8,4.6,38,Mid,21.5,0,Cold,E10,0,0,0
12.3,5.9,59,Mid,21.5,10,Cold,E10,0,0,0
24.7,5.1,58,Mid,21.5,12,Mid,E10,0,0,0
12.4,4.7,46,Mid,21.5,11,Mid,E10,0,0,0
17.3,5.1,24,Low,21.5,5,Cold,E10,0,0,0
33.4,5.6,36,Mid,21.5,3,Cold,E10,0,0,0
11.8,5.1,32,Mid,21.5,3,Cold,E10,0,0,0
25.9,4.9,39,Mid,21.5,8,Cold,E10,0,0,0
11.8,4.7,40,Mid,21.5,4,Cold,E10,0,0,0
25.3,5.5,32,Mid,21.5,3,Cold,E10,0,0,0
14.2,5.9,38,Mid,21.5,1,Cold,E10,0,0,0
17.9,5.7,37,Mid,21.5,1,Cold,E10,0,0,0
11.8,4.7,36,Mid,21.5,1,Cold,E10,0,0,0
12.3,5.9,62,Mid,21.5,6,Cold,E10,0,0,0
12.4,4.1,57,Mid,21.5,9,Cold,E10,0,0,0
18.4,5.7,21,Low,22.5,2,Cold,E10,0,0,0
18.4,5.8,28,Low,21.5,3,Cold,E10,0,0,0
18.3,5.5,29,Low,21.5,1,Cold,E10,0,0,0
18.4,5.7,35,Mid,21.5,4,Cold,E10,0,0,0
12.3,5.3,51,Mid,21.5,11,Mid,E10,0,0,0
11.8,5.0,29,Low,21.5,10,Cold,E10,0,0,0
12.3,5.6,58,Mid,21.5,8,Cold,E10,0,0,0
32.6,4.8,40,Mid,21.5,7,Cold,E10,0,0,0
19.0,4.3,36,Mid,21.5,7,Cold,E10,0,0,0
12.1,5.7,36,Mid,21.5,8,Cold,E10,0,0,0
20.0,5.2,37,Mid,21.5,4,Cold,E10,0,0,0
4.9,7.4,26,Low,21.5,6,Cold,E10,0,0,0
11.8,4.8,23,Low,21.5,9,Cold,E10,0,0,0
12.3,6.5,58,Mid,21.5,7,Cold,E10,0,0,0
12.4,4.0,55,Mid,21.5,7,Cold,E10,1,1,0
4.5,5.0,29,Low,21.5,7,Cold,E10,1,0,0
11.7,4.6,37,Mid,21.5,6,Cold,E10,0,0,0
10.2,4.3,44,Mid,21.5,7,Cold,E10,0,0,0
